Technology,HaveLanguages,WantLanguages,HaveDatabases,WantDatabases,HavePlatforms,WantPlatforms,HaveFrameworks,WantFrameworks
Couch DB,0.0,0.0,263.0,308.0,0.0,0.0,0.0,0.0
Couchbase,0.0,0.0,166.0,185.0,0.0,0.0,0.0,0.0
Crystal,83.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
Dart,1390.0,1506.0,0.0,0.0,0.0,0.0,0.0,0.0
Databricks,0.0,0.0,0.0,0.0,388.0,546.0,0.0,0.0
Databricks SQL,0.0,0.0,402.0,526.0,0.0,0.0,0.0,0.0
Datomic,0.0,0.0,57.0,147.0,0.0,0.0,0.0,0.0
Delphi,349.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
Deno,0.0,0.0,0.0,0.0,0.0,0.0,476.0,1040.0
Digital Ocean,0.0,0.0,0.0,0.0,3170.0,2908.0,0.0,0.0
Django,0.0,0.0,0.0,0.0,0.0,0.0,2752.0,2541.0
Drupal,0.0,0.0,0.0,0.0,0.0,0.0,468.0,208.0
DuckDB,0.0,0.0,305.0,684.0,0.0,0.0,0.0,0.0
Dynamodb,0.0,0.0,2268.0,2154.0,0.0,0.0,0.0,0.0
Elasticsearch,0.0,0.0,3491.0,3665.0,0.0,0.0,0.0,0.0
Elixir,673.0,1333.0,0.0,0.0,0.0,0.0,0.0,0.0
Elm,0.0,0.0,0.0,0.0,0.0,0.0,133.0,248.0
Erlang,251.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0
EventStoreDB,0.0,0.0,70.0,200.0,0.0,0.0,0.0,0.0
Express,0.0,0.0,0.0,0.0,0.0,0.0,4408.0,3216.0
F#,194.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0
FastAPI,0.0,0.0,0.0,0.0,0.0,0.0,2487.0,2823.0
Fastify,0.0,0.0,0.0,0.0,0.0,0.0,622.0,683.0
Firebase,0.0,0.0,0.0,0.0,3025.0,2720.0,0.0,0.0
Firebase Realtime Database,0.0,0.0,1429.0,1303.0,0.0,0.0,0.0,0.0
Firebird,0.0,0.0,206.0,174.0,0.0,0.0,0.0,0.0
Flask,0.0,0.0,0.0,0.0,0.0,0.0,2817.0,2053.0
Fly.io,0.0,0.0,0.0,0.0,759.0,1018.0,0.0,0.0
Fortran,141.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
GDScript,387.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0
Gatsby,0.0,0.0,0.0,0.0,0.0,0.0,455.0,255.0
Go,3305.0,5661.0,0.0,0.0,0.0,0.0,0.0,0.0
Google Cloud,0.0,0.0,0.0,0.0,5537.0,5431.0,0.0,0.0
Groovy,756.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0
H2,0.0,0.0,884.0,573.0,0.0,0.0,0.0,0.0
HTML/CSS,12410.0,10016.0,0.0,0.0,0.0,0.0,0.0,0.0
Haskell,300.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0
Heroku,0.0,0.0,0.0,0.0,2002.0,1012.0,0.0,0.0
Hetzner,0.0,0.0,0.0,0.0,1392.0,1577.0,0.0,0.0
Htmx,0.0,0.0,0.0,0.0,0.0,0.0,815.0,2103.0
IBM Cloud Or Watson,0.0,0.0,0.0,0.0,226.0,247.0,0.0,0.0
IBM DB2,0.0,0.0,326.0,165.0,0.0,0.0,0.0,0.0
InfluxDB,0.0,0.0,597.0,560.0,0.0,0.0,0.0,0.0
Java,5982.0,4048.0,0.0,0.0,0.0,0.0,0.0,0.0
JavaScript,14943.0,11541.0,0.0,0.0,0.0,0.0,0.0,0.0
Julia,143.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0
Kotlin,1958.0,2738.0,0.0,0.0,0.0,0.0,0.0,0.0
Laravel,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,1735.0
"Linode, now Akamai",0.0,0.0,0.0,0.0,816.0,821.0,0.0,0.0
Lisp,237.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0
Lua,1160.0,1069.0,0.0,0.0,0.0,0.0,0.0,0.0
MATLAB,592.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0
Managed Hosting,0.0,0.0,0.0,0.0,817.0,709.0,0.0,0.0
MariaDB,0.0,0.0,3994.0,3078.0,0.0,0.0,0.0,0.0
MicroPython,285.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft Access,0.0,0.0,802.0,242.0,0.0,0.0,0.0,0.0
Microsoft Azure,0.0,0.0,0.0,0.0,6681.0,6380.0,0.0,0.0
Microsoft SQL Server,0.0,0.0,5870.0,4345.0,0.0,0.0,0.0,0.0
MongoDB,0.0,0.0,5930.0,5618.0,0.0,0.0,0.0,0.0
MySQL,0.0,0.0,8556.0,6204.0,0.0,0.0,0.0,0.0
Neo4J,0.0,0.0,445.0,780.0,0.0,0.0,0.0,0.0
NestJS,0.0,0.0,0.0,0.0,0.0,0.0,1569.0,1764.0
Netlify,0.0,0.0,0.0,0.0,1662.0,1267.0,0.0,0.0
Next.js,0.0,0.0,0.0,0.0,0.0,0.0,4399.0,4458.0
Nim,54.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0
Node.js,0.0,0.0,0.0,0.0,0.0,0.0,9230.0,8096.0
Nuxt.js,0.0,0.0,0.0,0.0,0.0,0.0,910.0,1145.0
OCaml,105.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0
OVH,0.0,0.0,0.0,0.0,779.0,631.0,0.0,0.0
Objective-C,390.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenShift,0.0,0.0,0.0,0.0,574.0,585.0,0.0,0.0
OpenStack,0.0,0.0,0.0,0.0,308.0,417.0,0.0,0.0
Oracle,0.0,0.0,1907.0,1113.0,0.0,0.0,0.0,0.0
Oracle Cloud Infrastructure (OCI),0.0,0.0,0.0,0.0,571.0,540.0,0.0,0.0
PHP,4644.0,2794.0,0.0,0.0,0.0,0.0,0.0,0.0
Perl,463.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0
Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,567.0,907.0
Play Framework,0.0,0.0,0.0,0.0,0.0,0.0,175.0,136.0
PostgreSQL,0.0,0.0,11514.0,12193.0,0.0,0.0,0.0,0.0
PowerShell,3438.0,2074.0,0.0,0.0,0.0,0.0,0.0,0.0
Presto,0.0,0.0,124.0,140.0,0.0,0.0,0.0,0.0
Prolog,151.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
Python,9590.0,8919.0,0.0,0.0,0.0,0.0,0.0,0.0
PythonAnywhere,0.0,0.0,0.0,0.0,346.0,350.0,0.0,0.0
R,711.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0
RavenDB,0.0,0.0,68.0,99.0,0.0,0.0,0.0,0.0
React,0.0,0.0,0.0,0.0,0.0,0.0,8999.0,8223.0
Redis,0.0,0.0,5814.0,6384.0,0.0,0.0,0.0,0.0
Remix,0.0,0.0,0.0,0.0,0.0,0.0,407.0,727.0
Render,0.0,0.0,0.0,0.0,633.0,529.0,0.0,0.0
Ruby,1500.0,1294.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby on Rails,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,1250.0
Rust,2284.0,5597.0,0.0,0.0,0.0,0.0,0.0,0.0
SQL,12602.0,10944.0,0.0,0.0,0.0,0.0,0.0,0.0
SQLite,0.0,0.0,7021.0,6295.0,0.0,0.0,0.0,0.0
Scala,507.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0
Scaleway,0.0,0.0,0.0,0.0,216.0,195.0,0.0,0.0
Snowflake,0.0,0.0,620.0,843.0,0.0,0.0,0.0,0.0
Solid.js,0.0,0.0,0.0,0.0,0.0,0.0,273.0,787.0
Solidity,302.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0
Solr,0.0,0.0,388.0,292.0,0.0,0.0,0.0,0.0
Spring Boot,0.0,0.0,0.0,0.0,0.0,0.0,2916.0,2674.0
Strapi,0.0,0.0,0.0,0.0,0.0,0.0,469.0,404.0
Supabase,0.0,0.0,1122.0,1623.0,1009.0,1368.0,0.0,0.0
Svelte,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,2559.0
Swift,898.0,1382.0,0.0,0.0,0.0,0.0,0.0,0.0
Symfony,0.0,0.0,0.0,0.0,0.0,0.0,781.0,636.0
TiDB,0.0,0.0,43.0,111.0,0.0,0.0,0.0,0.0
TypeScript,10709.0,10437.0,0.0,0.0,0.0,0.0,0.0,0.0
VBA,710.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0
VMware,0.0,0.0,0.0,0.0,1341.0,868.0,0.0,0.0
Vercel,0.0,0.0,0.0,0.0,2875.0,2776.0,0.0,0.0
Visual Basic (.Net),957.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0
Vue.js,0.0,0.0,0.0,0.0,0.0,0.0,3642.0,3903.0
Vultr,0.0,0.0,0.0,0.0,437.0,367.0,0.0,0.0
WordPress,0.0,0.0,0.0,0.0,0.0,0.0,2696.0,1345.0
Yii 2,0.0,0.0,0.0,0.0,0.0,0.0,245.0,123.0
Zephyr,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
Zig,187.0,1136.0,0.0,0.0,0.0,0.0,0.0,0.0
jQuery,0.0,0.0,0.0,0.0,0.0,0.0,4810.0,2264.0
